year,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees,avg_unemp_perc
2002,0.5,1500.0,4465.0,6.95
2003,2.6,1125.0,5265.0,7.16
2004,2.2,631.0,5050.0,6.15
2005,2.6,466.0,5255.0,6.71
2006,1.8,581.0,5330.0,6.53
2007,2.5,563.0,5730.0,5.91
2008,1.95,679.0,5720.0,4.59
2012,4.1,835.0,5760.0,7.125
2013,5.4,1000.0,5860.0,7.15
2014,4.6,1055.0,5810.0,6.275
2015,4.6,1185.0,5770.0,7.85
2016,4.3,1125.0,5735.0,12.375
2017,5.9,1300.0,5640.0,13.275
2019,6.5,1150.0,5740.0,11.1
2020,5.4,1230.0,5700.0,12.875
2021,6.4,1050.0,6200.0,11.125
2022,4.6,1500.0,6010.0,7.925
