year,million_60kgs_bag_x,nonbear_mill_trees_x,bear_mill_trees_x,avg_unemp_perc_x,million_60kgs_bag_y,nonbear_mill_trees_y,bear_mill_trees_y,avg_unemp_perc_y
2002,0.5,1500.0,4465.0,6.95,0.5,1500.0,4465.0,6.95
2003,2.6,1125.0,5265.0,7.16,2.6,1125.0,5265.0,7.16
2004,2.2,631.0,5050.0,6.15,2.2,631.0,5050.0,6.15
2005,2.6,466.0,5255.0,6.71,2.6,466.0,5255.0,6.71
2006,1.8,581.0,5330.0,6.53,1.8,581.0,5330.0,6.53
2007,2.5,563.0,5730.0,5.91,2.5,563.0,5730.0,5.91
2008,1.95,679.0,5720.0,4.59,1.95,679.0,5720.0,4.59
2012,4.1,835.0,5760.0,7.125,23.5,835.0,5760.0,6.975
2012,4.1,835.0,5760.0,7.125,2.7,835.0,5760.0,7.125
2012,4.1,835.0,5760.0,7.125,10.8,835.0,5760.0,7.125
2012,4.1,835.0,5760.0,7.125,4.1,835.0,5760.0,7.275
2012,4.1,835.0,5760.0,7.125,1.9,835.0,5760.0,5.025
2013,5.4,1000.0,5860.0,7.15,28.5,1000.0,5860.0,6.65
2013,5.4,1000.0,5860.0,7.15,3.0,1000.0,5860.0,7.15
2013,5.4,1000.0,5860.0,7.15,11.8,1000.0,5860.0,7.15
2013,5.4,1000.0,5860.0,7.15,5.4,1000.0,5860.0,7.325
2013,5.4,1000.0,5860.0,7.15,1.8,1000.0,5860.0,4.4
2014,4.6,1055.0,5810.0,6.275,29.4,1055.0,5810.0,6.8
2014,4.6,1055.0,5810.0,6.275,29.4,1055.0,5810.0,6.8
2014,4.6,1055.0,5810.0,6.275,3.5,1055.0,5810.0,6.275
2014,4.6,1055.0,5810.0,6.275,3.5,1055.0,5810.0,6.275
2014,4.6,1055.0,5810.0,6.275,12.3,1055.0,5810.0,6.275
2014,4.6,1055.0,5810.0,6.275,12.3,1055.0,5810.0,6.275
2014,4.6,1055.0,5810.0,6.275,4.6,1055.0,5810.0,7.225
2014,4.6,1055.0,5810.0,6.275,4.6,1055.0,5810.0,7.225
2014,4.6,1055.0,5810.0,6.275,1.7,1055.0,5810.0,4.125
2014,4.6,1055.0,5810.0,6.275,1.7,1055.0,5810.0,4.125
2015,4.6,1185.0,5770.0,7.85,26.0,1185.0,5770.0,8.625
2015,4.6,1185.0,5770.0,7.85,3.3,1185.0,5770.0,7.85
2015,4.6,1185.0,5770.0,7.85,13.1,1185.0,5770.0,7.85
2015,4.6,1185.0,5770.0,7.85,4.6,1185.0,5770.0,9.475
2015,4.6,1185.0,5770.0,7.85,1.0,1185.0,5770.0,5.925
2016,4.3,1125.0,5735.0,12.375,25.3,1125.0,5735.0,11.2
2016,4.3,1125.0,5735.0,12.375,3.1,1125.0,5735.0,12.375
2016,4.3,1125.0,5735.0,12.375,9.9,1125.0,5735.0,12.375
2016,4.3,1125.0,5735.0,12.375,4.3,1125.0,5735.0,12.45
2016,4.3,1125.0,5735.0,12.375,1.2,1125.0,5735.0,8.3
2017,5.9,1300.0,5640.0,13.275,32.5,1300.0,5640.0,12.25
2017,5.9,1300.0,5640.0,13.275,3.8,1300.0,5640.0,13.275
2017,5.9,1300.0,5640.0,13.275,6.7,1300.0,5640.0,13.275
2017,5.9,1300.0,5640.0,13.275,5.9,1300.0,5640.0,13.525
2017,5.9,1300.0,5640.0,13.275,1.1,1300.0,5640.0,9.05
2019,6.5,1150.0,5740.0,11.1,34.2,1150.0,5740.0,10.1
2019,6.5,1150.0,5740.0,11.1,4.7,1150.0,5740.0,11.1
2019,6.5,1150.0,5740.0,11.1,10.9,1150.0,5740.0,11.1
2019,6.5,1150.0,5740.0,11.1,6.5,1150.0,5740.0,12.55
2019,6.5,1150.0,5740.0,11.1,1.2,1150.0,5740.0,8.65
2020,5.4,1230.0,5700.0,12.875,29.1,1230.0,5700.0,12.75
2020,5.4,1230.0,5700.0,12.875,3.9,1230.0,5700.0,12.875
2020,5.4,1230.0,5700.0,12.875,12.9,1230.0,5700.0,12.875
2020,5.4,1230.0,5700.0,12.875,5.4,1230.0,5700.0,14.1
2020,5.4,1230.0,5700.0,12.875,1.1,1230.0,5700.0,9.55
2021,6.4,1050.0,6200.0,11.125,34.8,1050.0,6200.0,11.65
2021,6.4,1050.0,6200.0,11.125,4.8,1050.0,6200.0,11.125
2021,6.4,1050.0,6200.0,11.125,14.3,1050.0,6200.0,11.125
2021,6.4,1050.0,6200.0,11.125,6.4,1050.0,6200.0,13.425
2021,6.4,1050.0,6200.0,11.125,1.1,1050.0,6200.0,8.35
2022,4.6,1500.0,6010.0,7.925,24.5,1500.0,6010.0,7.15
2022,4.6,1500.0,6010.0,7.925,3.7,1500.0,6010.0,7.925
2022,4.6,1500.0,6010.0,7.925,15.7,1500.0,6010.0,7.925
2022,4.6,1500.0,6010.0,7.925,4.6,1500.0,6010.0,9.075
2022,4.6,1500.0,6010.0,7.925,1.0,1500.0,6010.0,5.825
